Content,Label
well it's her choice who she wishes to spend her time with you need to be content with whatever you got,1
I am feeling ok,1
it was quite a fruitful day,1
that was one of the best days in the recent times. never felt more happy,1
it has been quite a journey with mostly positive experiences ,1
haha that was funny,1
we were having the time of our life,1
you are going to be a world class player,1
the sunset from the cliff top was surreal,1
we just had the best conversation,1
we are really excited for the concert,1
I am looking forward to my trip to barcelona,1
the latter part of 2019 still seems unreal to me ,1
the food was good,1
it was a magnificent evening,1
everyone should tell the truth,1
ember 14 oz is awesome,1
he takes good care of his personal belongings,1
one must promote human values,1
his objective was to uplift the materially poor,1
service to others can give children a sense of responsibility ,1
counseling and behavioral therapy can help people deal with their addiction,1
I love mangoes,1
the waitress who served us was very polite,1
the building that was destroyed in the fire has now been rebuilt,1
the woman who lives in my neighbourhood is very charming,1
the strike that crippled life in srinagar is finally over,1
i am thrilled to meet you,1
it kind of catapulted him into stardom,1
I am having a great time,1
my fellow passengers were very lively,1
you can think you are educated if you open the newspaper and understand every word in it ,1
well you have set the bar kind of high,1
I know you are capable of more,1
his efforts were appreciated,1
to harass people is inhuman,1
to forgive is divine,1
it was kind of him to help the orphan,1
she likes to grow trees in her garden,1
working is better than sitting idle,1
I love playing on a flute,1
well I hope she realises her fault soon and comes back,1
I feel overwhelmed by the response I got for my art. The positive feedback motivates me to pursue my hobby more seriously,1
he is the funniest person I have ever met till date. guy can practically make us roll on the floor with his jokes,1
i am sure of his success in the upcoming competitions,1
you should not doubt him he has a lot of potential,1
he has proved his potential in the past,1
his presence in the team makes a huge difference,1
i am hoping for a positive response on my last interview,1
mr. khanna has done a great job by providing employment to some of the youngsters from his home village,1
it is commendable how he manages time with his work and family,1
the movie poses a strong statement against gender discrimination,1
she has set an example for her younger sibblings,1
scindia thought he would have more opportunites as a memner of bharatiya janata party,1
the presentation was convincing enough to the client,1
the children were amused to see their disney stars in real life,1
amit was confident about his preparation for the exam,1
the aggressive tactics of the manager helped the team to seize a victory,1
she has wroked very hard to achieve such a high position in the company,1
you take care of yourself,1
we should love the people around us.,1
ratul is a cold headed person.,1
I like to help people.,1
India is one of the best countries.,1
That is a fantastic alternative.,1
you certainly are an expert on this topic,1
yeah i am fine now. wasn't before though due to the things happening in my personal life,1
lately it has been better. feels great to be over some things and accepting my fate as it is,1
I am happy everyone got back together in the end,1
charity is the midst of success,1
he had empathy with small children,1
reena is very likeable,1
they are very friendly,1
being righteous is far more important than being rich,1
women are the backbone of the society,1
those who have the will and patience to surmount them will find their trouble well repaid,1
the team won because they tried to achieve harmony by avoiding conflict,1
he certainly is an expert in that domain,1
his suggestion was received well by the members ,1
the government has stated to support the daily wage based workers,1
"even in these times of despair, people have not lost hope",1
on the brighter side the carbon emission around the world has gone down considerably in the past one week,1
I enrolled in a few courses to pass my time but gradually grew interest in them,1
all this free time makes me think how busy are daily schedules used to be that we couldn't even talk with our family members,1
I was pretty shocked to see him survive an accident of that scale I was happy for him,1
you will sail through the tough times,1
